
=====================================================================================
Run started at 2026-04-26 12:50:49
=====================================================================================

Dim    Algorithm            Avg Runtime (s)      Build Mem (KB)  Query Mem (KB)  Accuracy
-------------------------------------------------------------------------------------
2      Brute Force          0.202066             0.00            10045.41        1.0000
2      k-d Tree             0.000077             12505.26        1.10            1.0000
2      Forest ANN (bt=0)    0.000443             205476.64       6.06            0.3540
2      Forest ANN (bt=1)    0.000884             205476.64       6.27            0.8260
2      Forest ANN (bt=2)    0.001149             205476.64       6.28            0.9900

5      Brute Force          0.299656             0.00            10045.40        1.0000
5      k-d Tree             0.002771             12500.64        1.10            1.0000
5      Forest ANN (bt=0)    0.000671             205476.64       15.19           0.7380
5      Forest ANN (bt=1)    0.003364             205476.64       7.54            0.9820
5      Forest ANN (bt=2)    0.009589             205476.64       7.03            0.9960

10     Brute Force          0.362278             0.00            10045.41        1.0000
10     k-d Tree             0.100257             12500.64        1.10            1.0000
10     Forest ANN (bt=0)    0.001006             205476.64       15.19           0.3800
10     Forest ANN (bt=1)    0.007760             205476.64       14.80           0.8800
10     Forest ANN (bt=2)    0.041565             205476.64       7.70            0.9940

20     Brute Force          0.513996             0.00            10045.41        1.0000
20     k-d Tree             0.394166             12500.64        1.10            1.0000
20     Forest ANN (bt=0)    0.001573             205476.64       15.19           0.1240
20     Forest ANN (bt=1)    0.012582             205476.64       15.43           0.6340
20     Forest ANN (bt=2)    0.063089             205476.64       15.12           0.9400

50     Brute Force          0.974636             0.00            10045.41        1.0000
50     k-d Tree             0.804647             12500.64        1.10            1.0000
50     Forest ANN (bt=0)    0.003250             205470.08       99.53           0.0580
50     Forest ANN (bt=1)    0.024759             205470.08       95.18           0.3020
50     Forest ANN (bt=2)    0.131207             205470.08       76.58           0.7680

100    Brute Force          1.625164             0.00            10045.39        1.0000
100    k-d Tree             1.487046             12500.64        1.10            1.0000
100    Forest ANN (bt=0)    0.005893             205469.86       177.16          0.0380
100    Forest ANN (bt=1)    0.046930             205469.86       173.74          0.1780
100    Forest ANN (bt=2)    0.234136             205469.86       152.55          0.5560

200    Brute Force          2.833424             0.00            10045.41        1.0000
200    k-d Tree             2.662911             12500.64        1.10            1.0000
200    Forest ANN (bt=0)    0.009956             205470.68       333.97          0.0100
200    Forest ANN (bt=1)    0.079986             205470.68       328.11          0.0980
200    Forest ANN (bt=2)    0.419262             205470.68       298.65          0.3820


=====================================================================================
Run started at 2026-04-26 16:02:55
=====================================================================================

Dim    Algorithm            Avg Runtime (s)      Build Mem (KB)  Query Mem (KB)  Accuracy
-------------------------------------------------------------------------------------
2      Brute Force          0.239658             0.00            10045.42        1.0000
2      k-d Tree             0.000086             12505.26        1.09            1.0000
2      Forest ANN (bt=0)    0.000507             205476.64       6.05            0.3720
2      Forest ANN (bt=1)    0.000984             205476.64       6.27            0.8260
2      Forest ANN (bt=2)    0.001308             205476.64       6.28            0.9960

5      Brute Force          0.293002             0.00            10045.40        1.0000
5      k-d Tree             0.003543             12500.64        1.10            1.0000
5      Forest ANN (bt=0)    0.000726             205476.64       15.19           0.6760
5      Forest ANN (bt=1)    0.003811             205476.64       7.70            0.9740
5      Forest ANN (bt=2)    0.010730             205476.64       7.20            0.9980

10     Brute Force          0.385404             0.00            10045.41        1.0000
10     k-d Tree             0.102328             12500.64        1.10            1.0000
10     Forest ANN (bt=0)    0.001022             205476.64       15.19           0.4120
10     Forest ANN (bt=1)    0.007277             205476.64       14.34           0.8980
10     Forest ANN (bt=2)    0.033771             205476.64       7.53            0.9900

20     Brute Force          0.505161             0.00            10045.40        1.0000
20     k-d Tree             0.391541             12500.64        1.10            1.0000
20     Forest ANN (bt=0)    0.001617             205476.64       15.19           0.1240
20     Forest ANN (bt=1)    0.012428             205476.64       15.43           0.6160
20     Forest ANN (bt=2)    0.061569             205476.64       14.65           0.9420

50     Brute Force          0.939713             0.00            10045.40        1.0000
50     k-d Tree             0.767128             12500.64        1.10            1.0000
50     Forest ANN (bt=0)    0.003010             205470.08       99.32           0.0480
50     Forest ANN (bt=1)    0.023338             205470.08       95.42           0.3100
50     Forest ANN (bt=2)    0.121136             205470.08       74.89           0.7600

100    Brute Force          1.541386             0.00            10045.41        1.0000
100    k-d Tree             1.422476             12500.64        1.10            1.0000
100    Forest ANN (bt=0)    0.005606             205469.86       176.17          0.0200
100    Forest ANN (bt=1)    0.043057             205469.86       173.75          0.1840
100    Forest ANN (bt=2)    0.223424             205469.86       151.34          0.5580

200    Brute Force          3.032493             0.00            10045.40        1.0000
200    k-d Tree             3.117692             12500.64        1.10            1.0000
200    Forest ANN (bt=0)    0.014413             205470.68       333.68          0.0120
200    Forest ANN (bt=1)    0.097796             205470.68       327.54          0.1060
200    Forest ANN (bt=2)    0.494485             205470.68       299.42          0.3920


=====================================================================================
Run started at 2026-04-26 21:24:43
=====================================================================================

Dim    Algorithm            Avg Runtime (s)      Build Mem (KB)  Query Mem (KB)  Accuracy
-------------------------------------------------------------------------------------
2      Brute Force          0.210097             0.00            10045.41        1.0000
2      k-d Tree             0.000094             12505.26        1.10            1.0000
2      Forest ANN (bt=0)    0.000491             205476.64       6.06            0.3500
2      Forest ANN (bt=1)    0.000984             205476.64       6.27            0.8060
2      Forest ANN (bt=2)    0.001360             205476.64       6.28            0.9840

5      Brute Force          0.306684             0.00            10045.40        1.0000
5      k-d Tree             0.002378             12500.64        1.10            1.0000
5      Forest ANN (bt=0)    0.000820             205476.64       15.19           0.8040
5      Forest ANN (bt=1)    0.003797             205476.64       7.53            0.9920
5      Forest ANN (bt=2)    0.010412             205476.64       6.84            1.0000

10     Brute Force          0.377827             0.00            10045.41        1.0000
10     k-d Tree             0.131627             12500.64        1.10            1.0000
10     Forest ANN (bt=0)    0.000977             205476.64       15.19           0.4080
10     Forest ANN (bt=1)    0.007181             205476.64       14.96           0.8960
10     Forest ANN (bt=2)    0.033905             205476.64       7.53            0.9980

20     Brute Force          0.519119             0.00            10045.41        1.0000
20     k-d Tree             0.407415             12500.64        1.10            1.0000
20     Forest ANN (bt=0)    0.001743             205476.64       15.18           0.1600
20     Forest ANN (bt=1)    0.013253             205476.64       15.43           0.6560
20     Forest ANN (bt=2)    0.065700             205476.64       14.02           0.9460

50     Brute Force          1.003120             0.00            10045.40        1.0000
50     k-d Tree             0.838729             12500.64        1.10            1.0000
50     Forest ANN (bt=0)    0.004218             205470.08       99.40           0.0360
50     Forest ANN (bt=1)    0.029562             205470.08       95.18           0.3240
50     Forest ANN (bt=2)    0.144970             205470.08       74.84           0.7680

100    Brute Force          1.739615             0.00            10045.40        1.0000
